id,Lamination,Tongue mm,stack
1,SB1R,8,12
2,SB1R,8,16
3,SB3R,9.5,12
4,SB3R,9.5,16
5,17,12.7,12.7
6,17,12.7,16
7,17,12.7,19
8,17,12.7,25
9,12A,15.87,16
10,12A,15.87,19
11,12A,15.87,25
12,12A,15.87,30
13,74,18,17.5
14,74,18,25
15,23,19.05,19
16,23,19.05,25
17,23,19.05,32
18,23,19.05,38
19,30,20,20
20,30,20,25
21,30,20,27
22,30,20,30
23,30,20,34
24,30,20,40
25,31,22.22,22.5
26,31,22.22,28
27,15,25.4,19
28,15,25.4,25
29,15,25.4,32
30,15,25.4,38
31,15,25.4,45
32,15,25.4,50
33,33,28,28
34,33,28,38
35,3,31.75,32
36,3,31.75,38
37,3,31.75,45
38,3,31.75,50
39,16,38.1,32
40,16,38.1,38
41,16,38.1,45
42,16,38.1,50
43,16,38.1,63.5
44,16,38.1,76.2
45,6,38.1,32
46,6,38.1,38
47,6,38.1,45
48,6,38.1,50
49,6,38.1,63.5
50,6,38.1,76.2
51,43,50.8,25
52,43,50.8,32
53,43,50.8,38
54,43,50.8,45
55,43,50.8,50
56,43,50.8,63.5
57,43,50.8,76.2